Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2021-09-21 17:08:32,false,"Reading - Easy Run","5.13","407","00:33:08","170","187","--","159","167","6:28","5:24","12","15","0.97","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:00.00","3","0.0","00:00:00","00:33:08","34","61"
Running,2021-09-20 17:25:02,false,"Reading - Benchmark Run","1.61","90","00:09:00.0","143","167","--","164","188","5:35","4:17","3","7","1.08","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","02:00.00","3","0.0","00:00:00","00:09:34.9","38","44"
Running,2021-09-18 11:59:59,false,"Reading - 10K Race","10.00","892","01:12:24","178","194","--","160","167","7:14","6:23","23","28","0.87","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","01:12:23.55","1","0.0","00:00:00","01:12:24","29","47"
Running,2021-09-14 17:44:49,false,"Reading - Steady State Run","11.27","871","01:20:59","164","180","--","158","164","7:11","6:15","11","16","0.88","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","19:41.34","3","0.0","00:00:00","01:20:59","30","49"
Running,2021-09-13 17:29:27,false,"Reading - Tempo Run","8.07","640","00:56:36","164","185","--","158","165","7:01","5:31","13","16","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.36","8","0.0","00:00:00","00:56:36","32","50"
Running,2021-09-11 17:42:26,false,"Reading - Supersets","7.58","587","00:54:30","163","184","--","155","184","7:12","5:00","37","38","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.51","9","0.0","00:00:00","00:56:50","34","57"
Running,2021-09-10 17:32:20,false,"Reading Running","6.01","445","00:41:34","158","179","--","159","165","6:55","6:05","12","16","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.52","7","0.0","00:00:00","00:41:53","34","57"
Running,2021-09-07 07:02:22,false,"Paralimni Running","3.49","250","00:24:45","144","163","--","159","166","7:05","6:41","28","49","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","03:30.55","4","0.0","00:00:00","00:24:45","--","37"
Running,2021-09-06 06:40:53,false,"Paralimni Running","5.00","367","00:33:42","155","177","--","161","171","6:44","1:04","47","49","0.92","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:30.12","5","0.0","00:00:00","00:33:42","--","38"
Running,2021-09-04 06:47:38,false,"Paralimni Running","5.01","371","00:34:41","154","176","--","161","171","6:56","6:24","53","54","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:01.67","6","0.0","00:00:00","00:34:41","--","38"
Running,2021-09-03 06:50:17,false,"Paralimni Running","4.89","362","00:33:53","155","178","--","162","171","6:56","6:35","43","45","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:07.97","5","0.0","00:00:00","00:33:53","--","38"
Running,2021-09-02 06:46:08,false,"Paralimni Running","5.00","373","00:35:08","156","180","--","160","169","7:02","2:25","38","41","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:52.22","5","0.0","00:00:00","00:35:08","--","38"
Running,2021-08-31 06:44:19,false,"Paralimni Running","4.83","354","00:33:16","154","185","--","160","175","6:53","5:51","45","47","0.91","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","05:15.45","5","0.0","00:00:00","00:33:16","--","38"
Running,2021-08-30 07:11:15,false,"Paralimni Running","4.90","365","00:35:06","156","177","--","155","167","7:10","6:33","36","36","0.90","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","06:21.38","5","0.0","00:00:00","00:36:32","4","36"
Running,2021-08-27 06:51:02,false,"Strovolos Running","4.01","294","00:28:45","157","173","--","157","168","7:10","6:17","8","17","0.89","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:03.38","5","0.0","00:00:00","00:28:45","175","188"
Running,2021-08-24 17:23:58,false,"Reading - Time Trial","4.87","335","00:33:18","154","190","--","154","175","6:51","5:06","42","47","0.94","0.0","0.0","0.0","0.0","0.0","0:00","0.0","0:00","No","00:02.89","8","0.0","00:00:00","00:33:18","30","72"
